PWM;VTotal;VDiodo;CDiodo
195;3.97;0.33;11.54
200;4.01;0.33;11.68
205;4.14;0.33;12.10
210;4.23;0.34;12.37
215;4.25;0.33;12.43
220;4.37;0.34;12.80
225;4.44;0.34;13.02
230;4.48;0.34;13.16
235;4.55;0.34;13.36
240;4.60;0.35;13.50
245;4.64;0.34;13.65
250;4.69;0.34;13.79
255;4.73;0.34;13.93
0;2.13;0.29;5.82
5;0.62;0.23;1.21
10;0.18;0.15;0.11
15;0.11;0.10;0.03
20;0.13;0.13;0.00
25;0.15;0.13;0.06
30;0.18;0.15;0.11
35;0.21;0.16;0.17
40;0.26;0.18;0.26
45;0.30;0.19;0.36
50;0.33;0.20;0.42
55;0.46;0.22;0.78
60;0.43;0.22;0.68
65;0.47;0.22;0.79
70;0.57;0.26;0.96
75;0.59;0.23;1.15
80;0.64;0.23;1.29
85;0.74;0.25;1.57
90;0.79;0.24;1.74
95;0.85;0.25;1.91
100;0.97;0.26;2.23
105;1.05;0.26;2.50
110;1.11;0.26;2.68
115;1.27;0.28;3.13
120;1.38;0.27;3.52
125;1.46;0.28;3.74
130;1.66;0.29;4.36
135;1.86;0.29;4.98
140;1.92;0.29;5.17
145;2.18;0.30;5.97
150;2.41;0.31;6.69
155;2.52;0.27;7.12
160;2.83;0.32;7.96
165;3.06;0.32;8.70
170;3.15;0.31;9.00
175;3.43;0.33;9.84
180;3.60;0.33;10.40
185;3.70;0.33;10.71
190;3.86;0.33;11.19
195;3.92;0.33;11.42
200;4.06;0.33;11.82
205;4.15;0.33;12.13
210;4.17;0.32;12.24
215;4.30;0.33;12.60
220;4.37;0.33;12.83
225;4.42;0.33;12.97
230;4.49;0.34;13.17
235;4.55;0.34;13.36
240;4.59;0.34;13.51
245;4.64;0.34;13.67
250;4.69;0.33;13.82
255;4.73;0.34;13.95
0;2.12;0.29;5.80
5;0.59;0.23;1.15
10;0.18;0.14;0.11
15;0.17;0.11;0.19
20;0.12;0.11;0.03
25;0.15;0.13;0.06
30;0.14;0.16;-0.06
35;0.22;0.16;0.19
40;0.25;0.18;0.25
45;0.29;0.18;0.34
50;0.35;0.20;0.50
55;0.38;0.20;0.57
60;0.42;0.20;0.71
65;0.52;0.23;0.92
70;0.53;0.22;0.99
75;0.58;0.22;1.12
80;0.68;0.24;1.41
85;0.72;0.23;1.54
90;0.77;0.24;1.69
95;0.89;0.25;2.02
100;0.95;0.25;2.22
105;1.02;0.25;2.42
110;1.16;0.27;2.82
115;1.25;0.26;3.13
120;1.33;0.26;3.38
125;1.52;0.28;3.94
130;1.65;0.28;4.34
135;1.74;0.28;4.65
140;1.99;0.29;5.40
145;2.17;0.29;5.94
150;2.30;0.25;6.50
155;2.61;0.31;7.31
160;2.84;0.30;8.07
165;2.94;0.31;8.35
170;3.24;0.32;9.28
175;3.44;0.32;9.91
180;3.55;0.32;10.24
185;3.73;0.32;10.81
190;3.81;0.32;11.08
195;3.95;0.33;11.51
200;4.07;0.33;11.87
205;4.09;0.32;11.96
210;4.22;0.33;12.35
215;4.31;0.33;12.61
220;4.35;0.33;12.75
225;4.43;0.33;13.00
230;4.49;0.33;13.20
235;4.54;0.33;13.36
240;4.59;0.33;13.53
245;4.65;0.34;13.67
250;4.69;0.33;13.82
255;4.73;0.33;13.96
0;2.12;0.29;5.82
5;0.57;0.22;1.09
10;0.18;0.14;0.12
15;0.11;0.10;0.03
20;0.12;0.11;0.05
25;0.16;0.18;-0.08
30;0.19;0.15;0.12
35;0.22;0.16;0.19
40;0.23;0.17;0.20
45;0.30;0.18;0.39
50;0.34;0.19;0.47
55;0.37;0.16;0.68
60;0.50;0.21;0.93
65;0.48;0.22;0.84
70;0.52;0.22;0.96
75;0.63;0.23;1.24
80;0.65;0.23;1.35
85;0.70;0.23;1.49
90;0.82;0.25;1.80
95;0.87;0.24;1.97
100;0.93;0.25;2.16
105;1.06;0.26;2.53
110;1.14;0.26;2.81
115;1.21;0.26;3.03
120;1.39;0.27;3.54
125;1.50;0.27;3.89
130;1.59;0.27;4.19
135;1.82;0.29;4.87
140;1.97;0.28;5.37
145;2.10;0.25;5.87
150;2.39;0.30;6.63
155;2.63;0.30;7.40
160;2.73;0.30;7.71
165;3.04;0.31;8.66
170;3.26;0.31;9.34
175;3.33;0.32;9.57
180;3.59;0.32;10.36
185;3.73;0.32;10.85
190;3.84;0.32;11.17
195;3.97;0.33;11.56
200;4.00;0.32;11.70
205;4.14;0.33;12.12
210;4.23;0.33;12.40
215;4.24;0.33;12.43
220;4.37;0.33;12.83
225;4.44;0.33;13.05
230;4.49;0.33;13.19
235;4.55;0.33;13.37
240;4.60;0.34;13.53
245;4.64;0.33;13.69
250;4.69;0.33;13.82
255;4.73;0.33;13.96
0;2.12;0.29;5.82
5;0.62;0.22;1.24
10;0.18;0.14;0.12
15;0.11;0.10;0.05
20;0.15;0.12;0.11
25;0.15;0.13;0.08
30;0.18;0.14;0.12
35;0.17;0.17;0.00
40;0.26;0.17;0.28
45;0.29;0.18;0.36
50;0.33;0.18;0.48
55;0.40;0.20;0.64
60;0.43;0.21;0.71
65;0.47;0.21;0.82
70;0.57;0.24;1.06
75;0.59;0.22;1.16
80;0.64;0.22;1.30
85;0.75;0.24;1.61
90;0.79;0.23;1.75
95;0.85;0.24;1.92
100;0.97;0.25;2.28
105;1.04;0.25;2.51
110;1.10;0.25;2.70
115;1.27;0.27;3.18
120;1.37;0.26;3.51
125;1.45;0.27;3.75
130;1.67;0.28;4.39
135;1.80;0.28;4.83
140;1.92;0.28;5.18
145;2.19;0.30;6.00
150;2.42;0.29;6.75
155;2.51;0.26;7.15
160;2.83;0.31;7.99
165;3.05;0.31;8.72
170;3.14;0.31;8.98
175;3.43;0.32;9.87
180;3.60;0.32;10.43
185;3.70;0.32;10.74
190;3.86;0.32;11.22
195;3.92;0.32;11.44
200;4.05;0.33;11.82
205;4.15;0.33;12.15
210;4.17;0.31;12.24
215;4.30;0.33;12.61
220;4.37;0.33;12.85
225;4.42;0.33;13.00
230;4.49;0.33;13.19
235;4.55;0.33;13.39
240;4.59;0.33;13.51
245;4.64;0.33;13.69
250;4.69;0.32;13.86
255;4.73;0.33;13.96
0;2.12;0.28;5.83
5;0.59;0.22;1.16
10;0.18;0.14;0.12
15;0.17;0.10;0.22
20;0.12;0.11;0.05
25;0.15;0.13;0.06
30;0.13;0.15;-0.06
35;0.22;0.16;0.20
40;0.25;0.17;0.28
45;0.28;0.18;0.34
50;0.35;0.19;0.51
55;0.38;0.20;0.59
60;0.42;0.18;0.78
65;0.52;0.22;0.96
70;0.53;0.22;1.01
75;0.58;0.22;1.13
80;0.68;0.24;1.41
85;0.72;0.23;1.54
90;0.77;0.23;1.69
95;0.89;0.25;2.05
100;0.95;0.24;2.25
105;1.01;0.25;2.42
110;1.16;0.26;2.85
115;1.25;0.26;3.13
120;1.32;0.26;3.37
125;1.52;0.28;3.94
130;1.64;0.27;4.33
135;1.74;0.27;4.67
140;2.00;0.29;5.43
145;2.16;0.29;5.93
150;2.30;0.28;6.39
155;2.61;0.30;7.32
160;2.80;0.30;7.93
165;2.94;0.30;8.38
170;3.24;0.31;9.29
175;3.44;0.31;9.93
180;3.55;0.32;10.27
185;3.73;0.32;10.81
190;3.81;0.32;11.08
195;3.95;0.32;11.53
200;4.07;0.32;11.89
205;4.09;0.32;11.96
210;4.22;0.33;12.37
215;4.31;0.33;12.63
220;4.35;0.33;12.77
225;4.43;0.33;13.02
230;4.49;0.33;13.22
235;4.54;0.33;13.37
240;4.59;0.33;13.55
245;4.64;0.32;13.72
250;4.69;0.33;13.82
255;4.73;0.33;13.96
0;2.12;0.28;5.83
5;0.57;0.22;1.10
10;0.18;0.14;0.12
15;0.11;0.10;0.05
20;0.12;0.11;0.05
25;0.17;0.14;0.08
30;0.19;0.14;0.14
35;0.22;0.16;0.19
40;0.21;0.18;0.09
45;0.30;0.18;0.39
50;0.34;0.19;0.48
55;0.37;0.20;0.56
60;0.45;0.21;0.78
65;0.48;0.21;0.85
70;0.52;0.18;1.09
75;0.64;0.24;1.26
80;0.65;0.22;1.35
85;0.69;0.23;1.46
90;0.83;0.24;1.86
95;0.87;0.24;1.99
100;0.92;0.24;2.16
105;1.08;0.26;2.59
110;1.13;0.25;2.78
115;1.21;0.26;3.01
120;1.41;0.27;3.62
125;1.48;0.27;3.83
130;1.58;0.23;4.28
135;1.85;0.28;4.98
140;1.93;0.28;5.24
145;2.07;0.28;5.66
150;2.42;0.30;6.75
155;2.53;0.29;7.09
160;2.70;0.30;7.62
165;3.05;0.31;8.69
170;3.17;0.31;9.09
175;3.40;0.32;9.78
180;3.59;0.32;10.38
185;3.66;0.31;10.61
190;3.84;0.32;11.17
195;3.97;0.32;11.58
200;3.98;0.31;11.65
205;4.14;0.32;12.13
210;4.23;0.33;12.40
215;4.29;0.33;12.57
220;4.37;0.33;12.83
225;4.44;0.33;13.05
230;4.49;0.33;13.20
235;4.54;0.33;13.37
240;4.59;0.32;13.58
245;4.64;0.33;13.67
250;4.69;0.33;13.82
255;4.73;0.33;13.98
0;2.11;0.28;5.79
5;0.61;0.22;1.23
10;0.18;0.14;0.12
15;0.11;0.10;0.05
20;0.14;0.11;0.08
25;0.15;0.13;0.08
30;0.18;0.14;0.12
35;0.25;0.21;0.12
40;0.26;0.17;0.28
45;0.29;0.18;0.36
50;0.35;0.20;0.50
55;0.39;0.20;0.61
60;0.43;0.20;0.71
65;0.46;0.21;0.81
