PWM;VTotal;VDiodo;CDiodo
150;2,45;0,48;0,01
155;2,59;0,47;0,01
160;2,74;0,47;0,01
165;3,09;0,49;0,01
170;3,3;0,49;0,01
175;3,33;0,48;0,01
180;3,63;0,5;0,01
185;3,78;0,51;0,01
190;3,78;0,49;0,01
195;3,99;0,5;0,01
200;4,09;0,5;0,01
205;4,07;0,5;0,01
210;4,24;0,5;0,01
215;4,32;0,5;0,01
220;4,31;0,5;0,01
225;4,45;0,5;0,01
230;4,51;0,5;0,01
235;4,5;0,5;0,01
240;4,61;0,5;0,01
245;4,66;0,5;0,01
250;4,65;0,5;0,01
255;4,74;0,5;0,01
0;2,2;0,46;0,01
5;0,66;0,4;0
10;0,2;0,2;0
15;0,12;0,19;0
20;0,13;0,12;0
25;0,15;0,15;0
30;0,18;0,18;0
35;0,23;0,22;0
40;0,26;0,26;0
45;0,29;0,29;0
50;0,39;0,37;0
55;0,39;0,35;0
60;0,43;0,36;0
65;0,51;0,39;0
70;0,56;0,39;0
75;0,6;0,39;0
80;0,65;0,38;0
85;0,8;0,45;0
90;0,79;0,41;0
95;0,85;0,41;0
100;1,02;0,43;0
105;1,05;0,43;0
110;1,12;0,43;0
115;1,32;0,45;0
120;1,39;0,44;0
125;1,47;0,44;0
130;1,72;0,46;0
135;1,9;0,46;0
140;1,94;0,45;0
145;2,24;0,47;0,01
150;2,47;0,5;0,01
155;2,54;0,46;0,01
160;2,87;0,48;0,01
165;3,11;0,49;0,01
170;3,17;0,48;0,01
175;3,46;0,49;0,01
180;3,63;0,5;0,01
185;3,65;0,48;0,01
190;3,87;0,5;0,01
195;3,99;0,5;0,01
200;3,99;0,49;0,01
205;4,16;0,5;0,01
210;4,26;0,5;0,01
215;4,25;0,49;0,01
220;4,39;0,5;0,01
225;4,45;0,5;0,01
230;4,5;0,49;0,01
235;4,55;0,5;0,01
240;4,6;0,5;0,01
245;4,65;0,5;0,01
250;4,7;0,5;0,01
255;4,74;0,5;0,01
0;2,21;0,46;0,01
5;0,65;0,4;0
10;0,2;0,21;0
15;0,12;0,12;0
